ASPECT,CaSLOP,CHNL_BASE,CHNL_DIST,DEM30f,DEVMEAN,FLOW,HCURV,LSFACTOR,MCA,MRVBF,NegOpen,PosOpen,RSP,SLOPE,surface_area,TWI,VALLEY_DEPTH,VCURV,sentinel2.1,sentinel2.2,sentinel2.3,sentinel2.4,sentinel2.5,sentinel2.6,sentinel2.7,sentinel2.8,sentinel2.9,sentinel2.10,NDVI.S,EVI.S,TVI.S,SAVI.S,LSWI.S,BrightnessIndex.S,ClayIndex.S,SalinityIndex.S,CarbonateIndex.S,GypsumIndex.S,landsat8.1,landsat8.2,landsat8.3,landsat8.4,landsat8.5,landsat8.6,NDVI.L,EVI.L,SAVI.L,NDMI.L,COSRI.L,BrightnessIndex.L,ClayIndex.L,SalinityIndex.L,CarbonateIndex.L,GypsumIndex.L,MODISdaytemp,MODISnighttemp,modisrednir.1,modisrednir.2,NDVI.M,SAVI.M,BrightnessIndex.M,Climatetempprec.1,Climatetempprec.2,Clay
4.526407242,0.040413592,1831.728271,2.825073242,1834.553345,0.456612974,3115.563721,0.000520295,0.3953062,67828.57813,0.457731277,1.516738057,1.56776166,0.10009905,0.046705041,900.9824829,6.936326027,25.40066528,0.000361867,1654.900024,1871.199951,2444.166748,2634.75,2920.333252,3156.142822,3085.583252,3307.888916,3471.571533,2921.833252,0.11599379,0.300410599,78.48527527,0.057991654,-0.058865178,1661.555664,0.834800601,-0.13530618,1.476927161,0.113272727,0.166332752,0.192929536,0.245937765,0.333124638,0.345018089,0.290761143,0.150565594,-0.496797621,0.121198095,-0.017538272,-0.006915594,-0.050486639,1.186603189,-0.165737435,1.274754405,0.017538272,14135,13259,2741,3477,0.118366033,0.177534774,-4576448,110,408,14.7
5.407661438,0.010476509,1858.182861,3.000854492,1861.183716,0.658881783,943.1206665,8.14E-05,0.04132529,177435.8281,1.6763556,1.505405784,1.580411434,0.162386492,0.010724815,900.0517578,8.655903816,15.9274292,0.000408242,1306,1368.625,1443.876343,1814.647095,2923.600098,3312.399902,3313.800049,3598.9375,2694.75,1695.5,0.393032968,2.14336729,94.50041962,0.196495831,0.103028186,1290.140625,0.547834516,-0.404762894,1.105571508,0.329595,0.115287751,0.126745731,0.124594167,0.385150015,0.240178466,0.146404758,0.511150241,-0.889945686,0.387062162,0.231832638,-0.011489584,-0.132816821,1.640509963,-0.509001791,0.983024538,-0.231832638,14179,13282,2607,3389,0.130420282,0.195614114,-4688872,108,404,7.7
4.868338108,0.039389648,1863.066772,6.969116211,1870.035889,-0.050012946,3613.010254,8.52E-05,0.34012267,710532.625,0.441456825,1.404858232,1.629874587,0.179220915,0.040662959,900.7445679,8.135457993,32.10122681,-0.000184995,1786.333374,2075.25,2727.785645,2888.353027,3155,3383.6875,3296.149902,3545.888916,3534.230713,3009.850098,0.094350986,0.226824403,77.09416199,0.047171578,-0.034856148,1823.311157,0.853610992,-0.111828066,1.527030587,0.102193229,0.170116201,0.199809715,0.250892401,0.33019051,0.332594961,0.292137831,0.136466086,-0.450223267,0.110025942,-0.003627797,-0.006973458,-0.046078775,1.138486385,-0.149619013,1.255656719,0.003627797,14202,13327,2877,3478,0.094571203,0.141845644,-3819355,108,404,13
4.424067497,0.113189653,1426.144409,479.7214355,1905.865845,-0.011177009,5529.105469,0.000612923,1.204852223,8712.948242,0.057268444,1.333211184,1.62513876,0.866525531,0.100907877,904.6016235,4.903494835,73.98135376,-0.000239659,1623.090942,1800.400024,2312.571533,2483.5,2774.75,2969.875,2883.333252,3119.966553,3084.608643,2424.600098,0.109848417,0.311240017,78.0927887,0.054918922,-0.033726092,1573.956299,0.836230457,-0.126655161,1.424794793,0.113584451,0.146606535,0.162472367,0.204513952,0.270654172,0.273455471,0.218806118,0.139193296,-0.274754882,0.101736642,-0.005148409,-0.004647655,-0.031427722,1.249761581,-0.152704149,1.258761406,0.005148409,14183,13344,2326,2889,0.107957818,0.161921203,-2936045,105,402,9.3
3.586767673,0.072706766,1902.141602,5.756225586,1907.897827,0.160035923,5521.510742,0.000387473,0.92865932,42137.79297,0.184291989,1.464933634,1.564547539,0.353311628,0.082563974,903.0762939,6.128339767,10.53601074,1.97E-05,1599.503784,1733.5,2185.5,2336.666748,2583.5,2764.199951,2701.714355,2913.111084,2967.666748,2334.800049,0.105625466,0.338063508,77.82194519,0.052807331,-0.046910305,1492.449219,0.845331967,-0.120015837,1.36636126,0.109803587,0.150534764,0.16621165,0.205514282,0.279198229,0.282168448,0.224033639,0.152015775,-0.298689574,0.11224182,-0.005291049,-0.004916593,-0.035715532,1.259491444,-0.165429533,1.236461401,0.005291049,14158,13276,2110,2591,0.102318652,0.153461665,-2261181,106,403,4.2
5.008214474,0.072494872,1865.375732,5.03894043,1870.414673,0.693781972,1923.978149,0.00097051,0.77514106,108141.5391,0.0597152,1.495425344,1.564552665,0.248105958,0.084506057,903.2231445,6.602448463,15.27133179,0.000291426,1515.5,1630.400024,2018.666626,2171.5,2512.666748,2673,2599.333252,2777,2759.800049,2225.666748,0.125739858,0.434100032,79.10372162,0.062863126,-0.029942652,1405.826416,0.812383115,-0.141115472,1.332013607,0.122360311,0.150000617,0.165342271,0.204762816,0.295659661,0.264563203,0.220300019,0.181640208,-0.378252655,0.136287689,0.055507299,-0.005568617,-0.045486823,1.200922251,-0.197172374,1.238417864,-0.055507299,14158,13276,2305,2816,0.099785201,0.14966318,-2616831,109,406,9.2
3.078125715,0.02764841,1802.606934,1.708251953,1804.315186,0.382359684,2328.415771,5.22E-05,0.265372813,108418.2031,0.505026221,1.523404121,1.57363975,0.15713796,0.035943549,900.581665,7.531801701,9.180908203,6.85E-05,1740.222168,1999.421021,2610.25,2807.363525,3151,3444.600098,3401.600098,3636.666748,3430,2773.5,0.131631687,0.329156786,79.47525787,0.065810375,-0.004157152,1794.206665,0.81500423,-0.153904587,1.499952078,0.128693223,0.174843222,0.204648107,0.263916224,0.387511969,0.334143102,0.267024159,0.189730421,-0.907951474,0.161011875,0.073953427,-0.008680763,-0.080513753,1.251359105,-0.208720163,1.289609909,-0.073953427,14215,13240,2805,3418,0.098505542,0.147746444,-3814699,112,412,10
5.355322361,0.021017129,1801.815063,0.209960938,1802.025024,-0.795143068,12613.08789,-0.000238544,0.125654504,128448.2266,4.756358624,1.531394362,1.564550996,0.050086632,0.015045254,900.1119995,7.87235117,4.238952637,-0.000310773,2063.04541,2321.176514,2803.399902,2894.166748,3087.600098,3255,3148.285645,3344.5,3726.964355,3224.199951,0.057947569,0.191822931,74.6958847,0.02897135,-0.084168367,1885.057373,0.889144897,-0.066179968,1.358864903,0.072184227,0.211109623,0.248469129,0.300679922,0.368832648,0.401104391,0.354646266,0.101794541,-0.415150255,0.087411709,-0.041914783,-0.005680243,-0.045629106,1.130998492,-0.110404231,1.210129857,0.041914783,14210,13303.5,2504,2986,0.087795995,0.131681994,-2646180,112,413,18.7
1.810504794,0.017552165,1813.013062,0.688110352,1813.701172,-0.423144549,8043.653809,0.00015049,0.123387471,128232.1719,3.220431805,1.529862881,1.570546269,0.201156199,0.016477166,900.1221924,8.03669548,3.085510254,-8.24E-05,1488.416626,1587.333374,1713.800049,2049.5,2802,3153.125,3128.75,3379.75,2838.600098,2018.5,0.292191088,1.573967934,89.00511932,0.146080464,0.048622925,1403.716431,0.649990082,-0.306454182,1.151424885,0.245015427,0.148592874,0.1582762,0.177664816,0.373304397,0.253964603,0.183898181,0.355082601,-0.724426568,0.279227376,0.190252975,-0.006240604,-0.107791387,1.381006598,-0.368033707,1.122498631,-0.190252975,14053,13251,1930,2815,0.186512113,0.279738694,-4199325,111,414,7.7
3.180035353,0.00084698,1797.405884,2.334472656,1799.740356,1.583942533,900,0.00018969,0.001462635,93742.14063,4.989706039,1.534010172,1.575449944,0.255901098,0.00084698,900.0003052,9.88759613,6.756652832,0.000528084,1904.130493,2193.571533,2768.461426,2956.3125,3155.125,3374.142822,3282.399902,3507.428467,3917.666748,3279.699951,0.08493641,0.22897923,76.48113251,0.042464696,-0.088230662,1864.065063,0.87616694,-0.099090993,1.453924298,0.085262708,0.189642772,0.224379614,0.275911957,0.353352576,0.386779934,0.328749359,0.123065285,-0.468206048,0.102864236,-0.045164019,-0.006793485,-0.048730634,1.176519156,-0.134042412,1.229665875,0.045164019,14213,13308,2761,3390,0.102259792,0.15337722,-3868979,112,413,3.7
0.200195044,0.007323864,1815.261108,4.639526367,1819.900635,1.177725673,1434.239868,0.000376587,0.033866424,225187.4688,0.165939555,1.528748751,1.573591352,0.313127935,0.008266311,900.0307617,9.073429108,9.639770508,0.000394084,1699,1957.285767,2574.199951,2801.5,3247.571533,3540.199951,3434.399902,3698.06665,3384.333252,2679,0.143161476,0.350466907,80.19734955,0.071574777,0.007342517,1779.873535,0.791339457,-0.16756925,1.515126586,0.137942523,0.173766047,0.202346489,0.258368909,0.380278528,0.338854313,0.272163779,0.190887198,-0.817629218,0.160597935,0.057603009,-0.008542492,-0.077857263,1.245038271,-0.209241986,1.276863813,-0.057603009,14206,13264,2433,3056,0.113499723,0.170234084,-3419647,111,410,8
4.196484089,0.034987926,1822.911865,1.95324707,1824.865112,-0.048847515,3361.127197,0.000115636,0.334744126,178217.2031,0.404449016,1.524702907,1.567049503,0.169668376,0.040616449,900.7428589,7.557242393,9.632141113,7.91E-05,1807,2107.125,2698.714355,2881.563477,3123.111084,3405,3367.5,3562,3679.858643,2959.583252,0.110247627,0.278369099,78.11834717,0.055119269,-0.044322789,1839.014404,0.846274137,-0.129246444,1.493477702,0.105599411,0.172359258,0.20085384,0.254544705,0.354561448,0.345825315,0.286993742,0.164202482,-0.608574629,0.135266691,0.012473299,-0.007681553,-0.060920812,1.204992533,-0.180075601,1.267313123,-0.012473299,14201,13286,2740,3290,0.091210611,0.136804581,-3316500,110,408,12.7
4.941281319,0.035816297,1836.464355,0.645263672,1837.109619,-0.262274921,3041.750244,0.000273645,0.245351449,59204.31641,0.296703637,1.52324307,1.564507008,0.021435849,0.032474458,900.4747925,6.983917236,31.06842041,-0.000377541,1552.5,1761.54541,2204.5,2447.666748,3090.166748,3345.444336,3284.54541,3571.666748,3150.333252,2424.833252,0.196763799,0.554803193,83.47238159,0.098372944,0.020856977,1608.090698,0.73164171,-0.223286197,1.419967771,0.186731637,0.150410518,0.1757783,0.225622907,0.341790408,0.314655721,0.235487089,0.204731718,-0.67140919,0.163246274,0.041335739,-0.009153098,-0.065914989,1.336190939,-0.224448457,1.283565164,-0.041335739,14136,13267,2311,3040,0.136236221,0.204335228,-3900879,110,408,9.3
3.92484498,0.011357421,1802.390259,0.913208008,1803.303467,0.453009099,2136.157471,0.000145044,0.078914031,116271.1406,4.988070965,1.534047008,1.56955564,0.111099564,0.01474762,900.0979004,8.374956131,11.49377441,5.92E-05,1782.823486,1998.800049,2509.857178,2706.166748,3020.800049,3278,3214.444336,3521.055664,3729.199951,2821.800049,0.123087034,0.359379828,78.93585968,0.061538141,-0.074133337,1736.591309,0.825554192,-0.140994504,1.407799006,0.130859137,0.168026954,0.19357498,0.240431994,0.333766699,0.358381838,0.27763617,0.162547752,-0.482256681,0.130331621,-0.035563376,-0.007232294,-0.053592667,1.290832639,-0.176990956,1.242061257,0.035563376,14099,13261,2208,3002,0.152399227,0.228576913,-4136740,112,412,14.7
4.729388237,0.011710493,1805.07251,1.240600586,1806.31311,0.444902122,1691.990723,-6.18E-05,0.078054145,55193.60156,4.937026501,1.53258431,1.567697048,0.367904723,0.015318804,900.1055908,7.975824833,5.292236328,-6.82E-06,1877.666626,2113.5,2480.666748,2628.458252,2893,3102.828613,3018.166748,3221.25,3821.800049,3242,0.097748004,0.351889849,77.31416321,0.048869561,-0.117490828,1728.724121,0.847116828,-0.109787233,1.32114327,0.101336963,0.19769229,0.226526394,0.267890424,0.345662564,0.402300924,0.350232959,0.126757011,-0.367066443,0.104762152,-0.075723432,-0.005956983,-0.047717329,1.14866662,-0.135920376,1.182601333,0.075723432,14037,13308,2149,2789,0.129607126,0.194391012,-3160320,112,413,4.7
2.790964365,0.011079672,1805.260132,1.543579102,1806.803711,0.284540445,6336.42334,-1.91E-05,0.08076822,87313.91406,4.930076599,1.52677393,1.56644094,0.35645324,0.01169754,900.0615845,8.253176689,2.908813477,-3.12E-06,1743.333374,2030.75,2600.666748,2757.178467,3111.25,3407,3326.25,3662.25,3905.25,3172.399902,0.122421719,0.309853226,78.89370728,0.061205696,-0.080066375,1787.065552,0.809268713,-0.143124849,1.491778255,0.140989408,0.174079418,0.209687009,0.266080469,0.361556739,0.401670784,0.31261757,0.152120158,-0.68676877,0.127003968,-0.052558437,-0.008630197,-0.059924461,1.284863114,-0.167137533,1.268941164,0.052558437,14086,13329,1904,2663,0.166192248,0.249261081,-3466353,112,413,11.7
4.586924076,0.01423305,1806.447876,1.908325195,1808.356201,0.643371761,1430.428223,-8.68E-05,0.064374276,112371.4141,4.238657951,1.526021957,1.566930175,0.195958734,0.013867481,900.0865479,8.159456253,10.925354,0.000158405,1674.333374,1831.25,2299.5,2445,2712,2936.466553,2906.714355,3158,3546,2808.166748,0.116632596,0.366214037,78.5259552,0.058310699,-0.099072374,1584.098022,0.832633317,-0.132549226,1.373382449,0.127253264,0.161709934,0.181099489,0.224423006,0.306510597,0.346784115,0.274692506,0.154609904,-0.366609186,0.119436778,-0.061646782,-0.005646313,-0.043583062,1.262444735,-0.168346792,1.239224911,0.061646782,14148,13252,2094,2683,0.123299144,0.184929356,-2813653,112,412,14.7
3.470254421,0.013411183,1808.626343,0,1808.626343,-0.606215715,708825.25,-0.00017211,0.054074675,120999.8438,3.689671516,1.528930187,1.56487,0,0.003630591,900.0059204,8.249260902,23.60900879,-0.000170229,1703.866699,1959.5,2505.166748,2677.142822,2994.75,3189.5,3120.166748,3340,3568.142822,2833.399902,0.109326854,0.286250651,78.05939484,0.054658569,-0.066978984,1707.057251,0.83936131,-0.127486676,1.47028327,0.110161446,0.166547805,0.188209698,0.240128994,0.3722803,0.33490175,0.274448246,0.215789184,-0.757654011,0.178196058,0.052855626,-0.007632807,-0.080930687,1.220272899,-0.235778168,1.27585876,-0.052855626,14162,13215,2523,3299,0.133287534,0.199914128,-4517872,112,412,15.7
4.105334759,0.018647311,1819.919189,1.564941406,1821.484131,0.142060295,75986,-0.000193469,0.500574768,75445.58594,1.31306529,1.525440812,1.565826535,0.058733251,0.034256991,900.5283813,7.716266632,32.10913086,-3.44E-05,1338.5,1399,1528.75,1896.199951,3209,3662.666748,3604,3989,2778.5,1702.333374,0.404315412,1.895724893,95.09549713,0.202138022,0.129338041,1366.273804,0.517710209,-0.419878602,1.142136693,0.355603874,0.143505916,0.161795527,0.212696508,0.39734304,0.282533109,0.216878816,0.302679598,-1.146097541,0.249513447,0.168868884,-0.009074645,-0.112641685,1.302723408,-0.330233932,1.314600706,-0.168868884,14201,13209,1999,2616,0.13369447,0.200519994,-2847455,111,411,7.7
4.134637833,0.009821699,1814.822021,2.360229492,1817.182251,0.127594769,2229.700439,0.000156522,0.075526647,102428.0859,2.015501499,1.530428886,1.571504593,0.12162175,0.013760149,900.0852051,8.436250687,18.59606934,0.000100639,1623.411743,1895.099976,2498,2694.600098,2998.222168,3242.571533,3155.5,3384.857178,3419.333252,2742.199951,0.116299637,0.275477499,78.50475311,0.058144677,-0.040127762,1693.653076,0.831007123,-0.137583628,1.538734674,0.113539271,0.15806365,0.184935033,0.240870863,0.325979233,0.327514768,0.266075224,0.15014264,-0.513600767,0.119663067,-0.002349731,-0.007117473,-0.048243687,1.23091042,-0.166580528,1.302462101,0.002349731,14218,13218,2608,3166.5,0.096718334,0.145064935,-3225058.25,111,411,12.3
3.420013666,0.010033469,1860.142578,2.04699707,1862.189575,-0.274269909,1460.519897,-0.000452929,0.006262185,177087,2.402424097,1.446680307,1.572306514,0.404567033,0.002302194,900.0310059,8.691846848,3.016937256,-5.19E-05,1648.842163,1904.875,2417.666748,2671.25,3116.625,3409.428467,3352.75,3561,3320.75,2552,0.162047803,0.425700873,81.36631775,0.081016883,0.004795085,1712.77417,0.783489048,-0.186957136,1.466281533,0.142765447,0.154154092,0.186182186,0.231835395,0.381606966,0.321120918,0.237620711,0.244149372,-0.976254046,0.201768279,0.086073212,-0.012747146,-0.091876224,1.35140121,-0.263780266,1.245207191,-0.086073212,14164,13240,2588,3177,0.102168255,0.153239101,-3395585,109,416,10.7
2.212179661,0.005763703,1865.552246,2.737182617,1868.289429,-0.289848626,900,-0.000148887,0.01769335,411249.7813,2.642981768,1.405357957,1.579556823,0.145274192,0.005763703,900.0149536,9.56334877,16.09671021,1.92E-05,1581.823486,1775.117676,2353.923096,2528.777832,2830.5,3054,3026.666748,3251,3543.857178,2725.399902,0.125031576,0.318200707,79.05893707,0.062509976,-0.078713737,1602.777466,0.828021526,-0.145979166,1.488107204,0.124956749,0.149859697,0.177864984,0.227981389,0.320026547,0.345050991,0.272863925,0.167963192,-0.527742088,0.131743029,-0.037626356,-0.008583557,-0.050441477,1.264553308,-0.1848699,1.281766534,0.037626356,14223,13279,2539,3215,0.117483489,0.176209927,-3889704,108,415,9.7
2.200883627,0.114951253,1622.748169,257.9072266,1880.655396,0.132707015,5857.648926,0.000423217,0.409262538,47659.36328,0.16926688,1.373661995,1.566155434,0.9079265,0.044805974,900.9041748,5.737782001,26.15127563,0.000257665,1543.181763,1755.099976,2292.5625,2516,2706.833252,2894.857178,2823.333252,3055,3441.777832,2737.09082,0.103749342,0.265181512,77.7013092,0.051869601,-0.098712444,1545.399902,0.869127512,-0.121554792,1.485607505,0.096751034,0.146478951,0.169831529,0.216832995,0.298577935,0.326234907,0.258629799,0.158601493,-0.409530461,0.12075644,-0.04426441,-0.007186021,-0.042132236,1.261397243,-0.174515992,1.276753426,0.04426441,14235,13380,2302,2832,0.103233345,0.154834941,-2721020,108,415,6
5.988269329,0.027489649,1808.097656,42.4239502,1850.521606,-0.075747296,16116.17969,2.67E-05,0.253887713,162340.7969,2.570069313,1.397028923,1.57604444,0.795569539,0.025794864,900.2994995,7.739071369,10.88345337,0.000368219,1562.875,1716,2112,2311.5,2648.5,2836,2788.777832,2964.833252,3112.857178,2439.666748,0.13809599,0.452607542,79.88091278,0.069040954,-0.054913487,1486.148926,0.815056443,-0.155522004,1.351355672,0.12382336,0.161785796,0.189662218,0.240852654,0.330868572,0.347660601,0.275209785,0.157447219,-0.51448369,0.125987872,-0.02474769,-0.007676932,-0.05146401,1.263256669,-0.172931015,1.269903183,0.02474769,14118,13365,2062,2488,0.093626373,0.140424132,-1938300,109,414,8
1.155806541,0.012227447,1833.216675,1.959228516,1835.175903,0.264339626,1760.033081,-8.50E-05,0.045971591,223800.25,2.55489254,1.4897089,1.581304312,0.407277703,0.010026342,900.0452271,8.638074875,2.82635498,0.000297155,1263.583374,1325.821411,1424.375,1708.800049,2955.666748,3382.5,3286,3547.875,2539,1682.916626,0.395218015,1.976771951,94.61595917,0.197588027,0.128240347,1268.690186,0.505188465,-0.409185827,1.127250552,0.349855185,0.120734155,0.123114638,0.128860936,0.389662206,0.242066085,0.142337769,0.502969384,-0.877907872,0.384087414,0.233638614,-0.002309077,-0.135231495,1.700645447,-0.508605778,1.046674371,-0.233638614,14270,13284,2405,3112,0.12814936,0.192206621,-3900519,110,414,12.3
